side,firstblood,firstdragon,void_grubs,opp_void_grubs,firsttower,turretplates,opp_turretplates,golddiffat10,xpdiffat10,killsat10,opp_killsat10,golddiffat15,xpdiffat15,killsat15,opp_killsat15,result
0,1,1,0,6,0,1,1,-384,-454,3,2,-1885,-1216,3,3,1
1,1,0,3,3,1,8,2,2659,1408,2,0,5977,2776,5,0,1
0,0,1,3,3,0,2,8,-2659,-1408,0,2,-5977,-2776,0,5,0
1,0,1,4,2,1,2,4,-65,351,1,2,366,1223,3,3,1
0,1,0,2,4,0,4,2,65,-351,2,1,-366,-1223,3,3,0
1,1,0,1,5,0,1,7,-67,-736,2,2,-985,99,6,6,1
0,0,1,5,1,1,7,1,67,736,2,2,985,-99,6,6,0
1,1,1,3,3,0,3,6,-958,-1424,2,2,-3670,-3063,2,5,0
0,0,0,3,3,1,6,3,958,1424,2,2,3670,3063,5,2,1
1,1,1,0,6,1,5,3,835,1620,2,3,293,516,3,5,1
0,0,0,6,0,0,3,5,-835,-1620,3,2,-293,-516,5,3,0
1,0,0,3,0,0,1,2,-698,-143,0,2,-2656,-3309,0,4,0
0,1,1,0,3,1,2,1,698,143,2,0,2656,3309,4,0,1
1,1,1,0,6,0,4,2,287,-689,1,0,65,563,1,0,1
0,0,0,6,0,1,2,4,-287,689,0,1,-65,-563,0,1,0
1,0,1,0,6,0,1,9,-1115,-157,2,1,-2633,-64,4,2,0
0,1,0,6,0,1,9,1,1115,157,1,2,2633,64,2,4,1
1,0,1,3,3,1,3,4,1198,858,4,1,-9,794,5,4,1
0,1,0,3,3,0,4,3,-1198,-858,1,4,9,-794,4,5,0
1,1,1,6,0,1,3,3,1428,397,3,0,1409,74,3,0,1
0,0,0,0,6,0,3,3,-1428,-397,0,3,-1409,-74,0,3,0
1,1,0,6,0,0,4,2,930,499,2,3,1203,2009,6,6,1
0,0,1,0,6,1,2,4,-930,-499,3,2,-1203,-2009,6,6,0
1,0,0,6,0,1,3,1,-217,-313,0,1,1614,1235,3,2,1
0,1,1,0,6,0,1,3,217,313,1,0,-1614,-1235,2,3,0
1,1,0,3,3,1,5,2,491,1045,1,2,1014,193,3,2,1
0,0,1,3,3,0,2,5,-491,-1045,2,1,-1014,-193,2,3,0
1,1,0,6,0,1,1,1,521,724,1,1,89,-356,1,2,0
0,0,1,0,6,0,1,1,-521,-724,1,1,-89,356,2,1,1
1,0,1,0,6,1,0,3,-1435,-731,0,1,-1990,-376,0,1,0
0,1,0,6,0,0,3,0,1435,731,1,0,1990,376,1,0,1
1,1,1,3,3,1,6,1,292,-217,3,4,2070,1233,6,5,1
0,0,0,3,3,0,1,6,-292,217,4,3,-2070,-1233,5,6,0
1,0,1,3,3,1,5,3,1596,1177,6,4,1947,1593,9,7,1
0,1,0,3,3,0,3,5,-1596,-1177,4,6,-1947,-1593,7,9,0
1,0,1,3,3,1,9,5,-1218,496,2,5,-1192,-288,3,8,1
0,1,0,3,3,0,5,9,1218,-496,5,2,1192,288,8,3,0
1,1,0,3,3,1,7,2,892,773,5,5,2790,1548,9,6,1
0,0,1,3,3,0,2,7,-892,-773,5,5,-2790,-1548,6,9,0
1,1,1,0,6,0,3,4,-1240,-1387,3,4,-3195,-3845,5,9,0
0,0,0,6,0,1,4,3,1240,1387,4,3,3195,3845,9,5,1
1,1,0,2,4,1,4,3,-79,107,6,6,429,624,11,7,0
0,0,1,4,2,0,3,4,79,-107,6,6,-429,-624,7,11,1
1,1,1,2,2,1,3,5,-154,348,0,0,840,1990,3,1,0
0,0,0,2,2,0,5,3,154,-348,0,0,-840,-1990,1,3,1
1,1,0,3,2,1,7,4,971,-108,0,0,2705,-280,4,1,1
0,0,1,2,3,0,4,7,-971,108,0,0,-2705,280,1,4,0
1,1,1,5,1,1,3,4,919,773,2,1,1538,1121,5,2,1
0,0,0,1,5,0,4,3,-919,-773,1,2,-1538,-1121,2,5,0
1,1,0,4,2,1,6,3,1143,451,1,0,5066,3804,6,1,1
0,0,1,2,4,0,3,6,-1143,-451,0,1,-5066,-3804,1,6,0
